id,text,optionA,optionB,optionC,answer,category,optionD,counter,explanation,rating,ratingChange
214,The term market failure refers to,an unsuccessful advertising campaign.,a situation in which the market on its own fails to allocate resources efficiently.,a situation in which competition among firms becomes ruthless.,B,ECO,a firm which is forced out of business because of losses.,4,Lorem,500,0
215,An externality is the impact of,a person’s actions on that person’s well-being.,society’s decisions on the well-being of society.,one person’s actions on the well-being of a bystander.,C,ECO,society’s decisions on the well-being of one person.,3,Lorem,500,0
216,If a copper refinery does NOT bear the entire cost of the smoke it emits  it will,emit too much smoke.,emit lower levels of smoke.,emit an acceptable level of smoke.,A,ECO,eliminate all smoke so as to avoid the entire cost of the smoke.,2,Lorem,500,0
217,The two best reasons for a government to intervene in a market are to,promote equity and to raise revenues.,promote equity and to promote efficiency.,promote efficiency and to raise revenues.,B,ECO,raise revenues and to promote stability.,3,Lorem,500,0
218,Market power refers to the,power of the government to regulate a market.,relative importance of a market to the overall economy.,power of a single person (or small group of people) to unduly influence market prices.,C,ECO,ability of a person or group of people to successfully market new products.,2,Lorem,500,0
219,The income of a typical worker in a country is most closely linked to which of the following?,population,government policies,labor unions,D,ECO,productivity,3,Lorem,500,0
220,Almost all variation in living standards is attributable to differences in countries’,population growth rates.,endowments of natural resources.,defense budgets.,D,ECO,productivity.,1,Lorem,500,0
221,Productivity is defined as the,amount of goods and services produced from each hour of a worker’s time.,number of workers required to produce a given amount of goods and services.,amount of labor which can be saved by replacing workers with machines.,A,ECO,actual amount of effort workers put into an hour of working time.,1,Lorem,490,0
222,Inflation is defined as,a period of rising productivity in the economy.,an increase in the overall level of prices in the economy.,a period of rising income in the economy.,B,ECO,an increase in the overall level of output in the economy.,0,Lorem,490,0
223,Inflation causes,productivity to increase.,the value of money to rise.,the value of money to fall.,C,ECO,the government to lower taxes.,3,Lorem,500,0
224,Which of the following is the most correct statement about the relationship between inflation and unemployment?,In the long run  reducing inflation is associated with rising unemployment.,In the short run  reducing inflation is associated with falling unemployment.,In the long run  reducing inflation is associated with falling unemployment.,D,ECO,In the short run  reducing inflation is associated with rising unemployment.,3,Lorem,500,0
225,Scarcity is the result of,an unfair distribution of income.,taxes that are too low.,taxes that are too high.,D,ECO,too few resources to satisfy society’s desires.,0,Lorem,500,0
226,	A good is considered to be scarce in a society when,firms could be producing more of the good but have decided not to.,the government places a tax on the good in an attempt to lower the demand for it.,everyone in that society cannot have all they want of the good.,C,ECO,only the richest people in the economy can buy all they want of the good.,3,Lorem,500,0
227,	Economics is the study of,the government’s role in society.,how society manages its scarce resources.,how to operate a profitable business.,B,ECO,successful stock market investing.,2,Lorem,500,0
228,Efficiency is most closely defined by which of the following?,absolute fairness,minimum waste,equal distribution,B,ECO,consumer sovereignty,2,Lorem,500,0
229,Economists use the word equity to describe a situation in which,every member of society would have the same income.,benefits of society’s resources are distributed fairly among its members.,society is getting the most it can from its scarce resources.,B,ECO,those in society who have the least will receive the most.,4,Lorem,500,0
230,When the government implements such programs as welfare assistance and progressive income tax rates  which of the following is likely to occur?,Equity is increased and efficiency is increased.,Equity is decreased and efficiency is increased.,Equity is increased and efficiency is decreased.,C,ECO,Equity is decreased and efficiency is decreased.,3,Lorem,500,0
231,Economists use the phrase “There is no such thing as a free lunch ” to illustrate,the concept of inflation.,the concept of tradeoffs.,that people aren’t as generous today as they used to be.,B,ECO,that if something looks too good to be true  it probably is.,3,Lorem,500,0
232,Whatever must be given up to obtain an item is the definition of,equity.,an explicit cost.,efficiency.,D,ECO,opportunity cost.,1,Lorem,500,0
233,When economists refer to people making decisions “at the margin” they mean that people,make decisions only if those decisions do not impose a cost.,evaluate how easily a decision can be reversed if problems arise.,always calculate the dollar costs for each decision.,D,ECO,compare the costs and benefits of each decision.,3,Lorem,500,0
234,Which of the following is the best example of a marginal change?,Jayson gets a raise at his part-time job and is now paid $6.75 per hour instead of $6.50.,After graduating college  Megan’s income increases from $500 per month to $3 000 per month.,Due to an increase in the crime rates of a local suburb  housing prices in the area fall by 40%.,A,ECO,A hard freeze wipes out half of the orange crop in Florida and the price of orange juice doubles.,3,Lorem,500,0
235,When economists say that individuals respond to incentives  they mean that,individuals act very quickly when faced with a problem.,individuals respond to positive stimuli  but not to negative stimuli.,if the benefit of an activity increases  people will engage in more of that activity.,C,ECO,once individuals have made a mistake  they will never make the same mistake again.,4,Lorem,500,0
236,If Japan decides to trade with Bangladesh  we know that,Bangladesh will be better off  but trading with a less-developed country will not help Japan.,Bangladesh and Japan will both be better off with trade.,it will not benefit Bangladesh because workers in Japan are more productive.,B,ECO,it will not benefit either country because they are too culturally different.,4,Lorem,500,0
237,Any nation which chooses to engage in trade,will only benefit if it trades with countries that produce goods it cannot produce.,cannot benefit if it trades with less-developed countries.,can benefit by trading with any other country.,C,ECO,should first attempt to produce the good itself.,1,Lorem,500,0
238,In Adam Smith’s book The Wealth of Nations  the “invisible hand” refers to,human kindness.,the free market system.,supernatural beings.,B,ECO,government restrictions.,1,Lorem,500,0
239,Profit and self-interest guide the decisions of firms and households in a,command economy.,traditional economy.,market economy.,C,ECO,all of the above,1,Lorem,500,0
240,When a market  left on its own  fails to allocate resources efficiently  which of the following has occurred?,government interference,economic meltdown,monopoly power,D,ECO,market failure,0,Lorem,500,0
241,Which of the following would be an example of an externality?,A construction company remodels several run-down  vacant homes in a low-income part of town  improving property values.,Teachers at a local high school have pizza delivered every Friday for lunch.,An elderly couple purchases a hot tub to ease their arthritis.,A,ECO,John buys a tractor to mow his newly purchased 5-acre lot.,0,Lorem,500,0
242,Market failure can be caused by,market power and supply shocks.,externalities and market power.,government intervention and low consumer demand.,B,ECO,high prices and foreign competition.,1,Lorem,500,0
243,An example of a firm with market power would be a,video rental store in Dallas.,farmer in Iowa.,gas station in Tallahassee.,D,ECO,cable TV provider in a Kansas City suburb.,0,Lorem,500,0
244,The primary determinant of a country’s standard of living is,the ability to reduce foreign competition.,its ability to produce goods and services.,the total supply of money in the economy.,B,ECO,the average age of the country’s labor force.,0,Lorem,500,0
245,Suppose that the average income of a Brazilian is higher than the average income of a Canadian. You might conclude that,Canadian firms are faced with stricter government regulations than in Brazil.,total income is divided among fewer workers in Brazil than in Canada since Brazil has a smaller labor force than Canada.,productivity in Brazil is higher than in Canada.,C,ECO,Brazil’s climate allows for longer growing seasons and therefore Brazil can produce large quantities of grain.,1,Lorem,500,0
246,If the government wanted to enact a policy to increase living standards in the country  it should,increase educational opportunities for workers.,make it more difficult to receive unemployment benefits.,strictly enforce all workplace safety regulations.,A,ECO,prohibit any union from restricting membership.,0,Lorem,500,0
247,In most cases  the cause of high or persistent inflation is,increased government regulations.,higher worker productivity.,growth in the quantity of money.,C,ECO,an increased demand for domestic production.,0,Lorem,500,0
248,In the 1920s  the quantity of money in Germany was increased. As a result,unemployment increased.,many people in Germany became rich.,Germany experienced hyperinflation.,C,ECO,Germany was able to repay all its foreign debts.,0,Lorem,500,0
249,According to the Phillips curve,there is no tradeoff between inflation and unemployment.,if inflation increases  so does unemployment.,increases in unemployment are associated with a rise in prices.,D,ECO,there is a short-run tradeoff between inflation and unemployment.,0,Lorem,500,0
250,The production possibilities frontier is a,map which shows the frontier beyond which agriculture is unprofitable.,map which shows areas of the world in which capitalist production is now possible.,graph that shows the various combinations of output that the economy can possibly produce given the available resources and technology.,C,ECO,graph which shows the various combinations of resources that can be used to produce a given level of output.,0,Lorem,500,0
251,Which of the following concepts is NOT illustrated by the production possibilities frontier?,efficiency,opportunity cost,equity,C,ECO,tradeoffs,0,Lorem,500,0
252,The opportunity cost of obtaining more of one good is shown on the production possibilities frontier as the,amount of the other good which must be given up.,market price of the additional amount produced.,amount of resources which must be devoted to its production.,A,ECO,number of dollars which must be spent to produce it.,0,Lorem,500,0
253,A production possibilities frontier will be linear and not bowed out if,no tradeoffs exist.,the tradeoff between the two goods is always at a constant rate.,the unemployment rate is zero.,B,ECO,resources are allocated efficiently.,0,Lorem,500,0
254,Which of the following would be considered a topic of study in microeconomics?,the effect of changes in saving rates on GDP,the impact of minimum-wage laws on employment in the fast-food industry,the impact of monetary policy on the rate of inflation,B,ECO,the effect of tax policy on the rate of economic growth,0,Lorem,500,0
255,Since economists are unable to obtain economic data by conducting experiments  they generally must,do without data.,use whatever data the world gives them.,select a committee of economists to make up data for all economists to use.,B,ECO,ask policymakers to conduct experiments for them.,0,Lorem,500,0
256,Models,allow economists to learn how the economy works.,make the economics profession more difficult than necessary.,based on false assumptions cannot be useful to economists.,A,ECO,must include every possible variable in the economy to be useful to economists.,0,Lorem,500,0
257,When building a model  economists begin by,applying for government funding.,conducting controlled experiments in a lab.,making assumptions.,C,ECO,reviewing statistical forecasts.,0,Lorem,500,0
258,In a simple two-sector circular-flow diagram ,firms are sellers in the resource market and the product market.,households are sellers in the resource market.,firms are buyers in the product market.,B,ECO,households are buyers in both the resource market and the product market.,0,Lorem,500,0
259,In a simple two-sector circular-flow diagram ,spending on goods and services flow from firms to households.,goods and services flow from households to firms.,factors of production flow from firms to households.,D,ECO,income from factors of production flows from firms to households.,0,Lorem,500,0
260,Which of the following statements about production possibilities frontiers is correct?,An economy can produce only on its production possibilities frontier.,More than one point on a production possibilities frontier can be produced if there is an increase in available resources.,An economy can produce at any point on or inside the production possibilities frontier.,C,ECO,An economy can produce at any point outside the production possibilities frontier,0,Lorem,500,0
261,A point that is on a production possibilities frontier represents a combination of two goods that an economy,will never be able to produce.,can produce using all available resources and technology.,can produce using some of its resources and technology.,B,ECO,may be able to produce sometime in the future with additional resources and technology.,0,Lorem,500,0
262,The curved shape of the production possibilities frontier can be explained by,the fact that some resources are better suited for some types of production than are other resources.,constant cost production.,scarcity.,A,ECO,economic growth.,0,Lorem,500,0
263,Suppose a nation is currently producing at a point inside its production possibilities frontier. We know that,the nation is producing beyond its capacity  and inflation will occur.,the nation is producing inefficiently.,the nation is producing efficiently.,B,ECO,there will be a large opportunity cost if the nation tries to increase production.,0,Lorem,500,0
264,Anytime an economy’s production possibilities frontier shifts outward  we can say that this economy is experiencing,economic growth.,a downturn in the economy.,a more equitable distribution of income within the economy.,A,ECO,an improvement in the allocation of available resources.,0,Lorem,500,0
265,Macroeconomics is concerned primarily with the,way things are produced.,prices of particular goods and services.,behavior of consumers.,D,ECO,study of economy-wide phenomena.,0,Lorem,500,0
266,“The government should use any budget surplus to reduce taxes instead of paying down the national debt” is an example of,a positive economic statement.,sound fiscal management.,a normative economic statement.,C,ECO,a welfare statement.,0,Lorem,500,0
267,Economists from the Treasury Department provide,the annual Economic Report of the President.,advice on tax policy to the President.,enforcement of the U. S. Antitrust laws.,B,ECO,Congress with the annual budget.,0,Lorem,500,0
268,The slope of a straight line is calculated by,rise divided by run.,run divided by rise.,the average of rise and run.,A,ECO,rise plus run.,0,Lorem,500,0
269,A country’s consumption possibilities frontier can be outside its production possibilities frontier,with trade.,by allocating resources differently.,by lowering unemployment in the country.,A,ECO,by producing a greater variety of goods and services.,0,Lorem,500,0
270,If labor in Mexico is less productive than labor in the United States in all areas of production ,neither nation can benefit from trade.,Mexico can benefit from trade but the United States cannot.,both nations can benefit from trade.,C,ECO,Mexico will not have a comparative advantage in any good.,1,Lorem,500,0
271,Comparative advantage is based on,capital costs.,labor costs.,dollar price.,D,ECO,opportunity costs.,0,Lorem,500,0
272,Absolute advantage is found by,comparing opportunity costs.,calculating the dollar cost of production.,first determining which country has a comparative advantage.,D,ECO,comparing the productivity of one nation to that of another.,0,Lorem,500,0
273,The principle of comparative advantage was developed by,Adam Smith.,Harry Truman.,David Ricardo.,C,ECO,John Maynard Keynes.,1,Lorem,500,0
274,Economists generally support,government management of trade.,free international trade.,trade restrictions.,B,ECO,export subsidies.,0,Lorem,500,0
275,Karl Malone (1997 NBA MVP) is a better basketball player and truck driver than Gregory Mankiw (the author of your economics text). Which of the following is true?,Karl Malone and Gregory Mankiw may benefit from trade.,Karl Malone would be better off playing basketball and driving his own truck.,Karl Malone will probably have a comparative advantage in both goods.,A,ECO,Karl Malone will have a lower opportunity cost of playing basketball and truck driving than will Gregory Mankiw.,0,Lorem,500,0
276,Exports are,a limit placed on the quantity of goods brought into a country.,goods produced domestically and sold abroad.,usually a country’s least desirable product.,B,ECO,goods produced abroad and sold domestically.,0,Lorem,500,0
277,The United States could benefit by,promoting imports and restricting exports.,restricting imports and promoting exports.,restricting both imports and exports.,D,ECO,not restricting trade.,0,Lorem,500,0
278,The gains from trade are,higher from trade between a rich nation and a poor nation.,a result of more efficient resource allocation.,based on different wage rates between nations.,B,ECO,based on the principle of absolute advantage.,0,Lorem,500,0
279,If a country chooses not to trade  then that country,will be better off.,is outside its own production possibilities frontier.,will have a production possibilities frontier equal to its consumption possibilities frontier.,C,ECO,will be able to produce and consume a greater variety of goods and services.,0,Lorem,500,0
280,Which of the following statements about trade is NOT correct?,Trade allows for specialization.,Trade improves a country’s standard of living.,Trade is based on absolute advantage.,C,ECO,Trade is based on which country experiences lower opportunity cost to produce.,2,Lorem,500,0
281,In one hour Matt can debug one computer program or type ten pages of a report. Matt’s opportunity cost of debugging a computer program is,one page of a report.,ten pages of a report.,1/10 of a page of a report.,B,ECO,one hour of his time.,0,Lorem,500,0
282,If Shawn can produce donuts at a lower opportunity cost than Sue  then,Shawn has a comparative advantage in the production of donuts.,Sue has a comparative advantage in the production of donuts.,Shawn should be retrained to produce a different product.,A,ECO,it is obvious that Shawn is capable of producing more donuts than Sue.,0,Lorem,500,0
283,Gains from trade occur when trade is based on,the amount of labor resources the two countries have.,the rate of inflation in the two countries.,absolute advantage.,D,ECO,comparative advantage.,0,Lorem,500,0
284,Which of the following is true when countries specialize according to their comparative advantage?,It is possible to increase world output of all goods.,It is possible to increase world output of some goods only by reducing the output of others.,One country is likely to gain from trade while others lose.,A,ECO,All countries will lose from trade.,0,Lorem,500,0
285,A good that is produced abroad and sold domestically is called,a quota.,a tariff.,an import.,C,ECO,an export.,0,Lorem,500,0
286,A tax placed on imported goods is called,a quota.,a tariff.,an import.,B,ECO,an export.,0,Lorem,500,0
287,David Ricardo,believed that barriers to trade  such as tariffs and quotas  were necessary to promote a country’s economic growth.,argued in favor of Britain following a free-trade policy.,was the founder of modern economics.,B,ECO,wrote Why Nations Trade.,0,Lorem,500,0
288,Trade can make everybody better off because it,increases cooperation among nations.,increases labor costs of production.,requires some workers in an economy to be retrained.,D,ECO,allows people to specialize according to comparative advantage.,0,Lorem,500,0
289,Assume that Hungary has a comparative advantage in wheat and Germany has a comparative advantage in cars. If these two countries specialize and trade according to their comparative advantage,Hungary will specialize in and export wheat.,some individuals in each country will be hurt.,more of each good can be consumed in both countries.,D,ECO,All of the above are correct.,0,Lorem,500,0
290,Assume that Hungary has a comparative advantage in wheat and Germany has a comparative advantage in cars. If these two countries specialize and trade according to their comparative advantage,all individuals in both countries will benefit.,Hungary will specialize in and export cars.,Germany will produce more cars than in the absence of trade.,C,ECO,Germany will produce more wheat than in the absence of trade.,0,Lorem,500,0
291,A market is a,place where only buyers come together.,place where only sellers meet.,group of people with common desires.,D,ECO,group of buyers and sellers of a particular good or service.,0,Lorem,500,0
292,A monopoly is a market,with one seller.,with few sellers.,with one buyer.,A,ECO,where the government sets the price.,0,Lorem,500,0
293,When we are studying the behavior of buyers  we are studying,supply.,demand.,an entire market.,B,ECO,government regulation.,0,Lorem,500,0
294,A demand curve is the,curve that relates income with quantity demanded.,upward-sloping line relating price with quantity supplied.,downward-sloping line relating the price of the good with the quantity demanded.,C,ECO,None of the above answers is correct.,0,Lorem,500,0
295,If a good is “normal ” then an increase in income will result in,a lower market price.,a decrease in the demand for the good.,an increase in the demand for the good.,C,ECO,no change in the demand for the good.,0,Lorem,500,0
296,If the price of a substitute to good X increases  then the,demand for good X will decrease.,demand for good X will increase.,market price of good X will decrease.,B,ECO,demand for good X will not change.,0,Lorem,500,0
297,What will happen in the rice market if buyers are expecting higher prices in the near future?,The supply of rice will increase.,The demand for rice will decrease.,The demand for rice will increase.,C,ECO,The demand for rice will be unaffected.,0,Lorem,500,0
398,Fertilization of an ovum outside a woman's body is called,artificial insemination.,in vitro fertilization.,eugenics.,B,PSY,genetic engineering.,0,Lorem,500,0
399,The first milk produced by a woman in the first few days after giving birth is called,formula.,enrichment.,colostrum.,C,PSY,amniocentesis.,0,Lorem,500,0
400,Studies of the Head Start Program indicate that,children improve their school performance and abilities.,early childhood educational programs are a waste of the taxpayers' money.,the gains are about the same as if the child was in a caring environment.,A,PSY,children improve their performance while they are in the program but lose it in elementary school.,0,Lorem,500,0
401,When a gene is __________  the trait it controls will be present every time the gene is present.,recessive,dominant,polygenic,B,PSY,sex-linked,0,Lorem,500,0
402,Which represents the correct order of Piaget's stages of intellectual development?,sensorimotor  concrete operational  formal operational  postoperational,preoperational  concrete operational  formal operational  sensorimotor,sensorimotor  preoperational  concrete operational  formal operational,C,PSY,preoperational  informal operational  formal operational  postoperational,0,Lorem,500,0
403,Compared to mothers  fathers spend more time,playing with the infant.,feeding and care giving their infants.,providing routine child care.,A,PSY,that does not involve visual contact with the infant.,0,Lorem,500,0
404,When parents around the world use a short  sharp rhythm  they are,warning their baby.,comforting their baby.,calling attention to objects.,A,PSY,praising their baby.,0,Lorem,500,0
405,The three basic emotions which appear to be unlearned but take time to develop are,affection  anger  fear.,excitement  jealousy  anger.,delight  jealousy  fear.,D,PSY,anger  fear  joy.,0,Lorem,500,0
406,Which of the following most clearly demonstrates the existence of emotional attachment?,separation anxiety,learning to walk,imprinting,A,PSY,language development,0,Lorem,500,0
407,The grasping  rooting  and sucking reflexes of infants are best described as,fixed action patterns.,instincts.,conditioned reflexes.,D,PSY,adaptive reflexes.,0,Lorem,500,0
408,According to Chomsky  humans have a __________ to develop language.,perceptual set,telegraphic readiness,learning set,D,PSY,biological predisposition,0,Lorem,500,0
409,During the formal operations stage  children begin to,accurately use concepts of time  space  and number.,think primarily about concrete objects or situations.,develop the concept of object permanency.,D,PSY,think in terms of abstract principles and hypothetical possibilities.,0,Lorem,500,0
410,__________ is an example of a congenital problem.,Williams Syndrome,Exposure to radiation,Down's Syndrome,B,PSY,Color blindness,0,Lorem,500,0
411,Harlow's studies of surrogate mothers show that,infant monkeys prefer the cloth surrogate only when it is the source of food.,the wire surrogate is preferred because of its association with food.,when frightened  infants run to the cloth surrogates for security and contact.,C,PSY,attachment to the wire &quot;feeding mothers&quot; is identical to that displayed toward real mothers.,0,Lorem,500,0
412,Harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrates the importance of,imprinting or critical periods.,contact comfort.,acceptance.,B,PSY,good nutrition.,0,Lorem,500,0
413,Which reflex probably helps prevent falling?,Moro reflex,grasping reflex,rooting reflex,B,PSY,sucking reflex,0,Lorem,500,0
414,A child is largely nonverbal  is learning to coordinate purposeful movements with sense information  and is developing the concept of object permanence. The child is in Piaget's __________ stage.,sensorimotor,preoperational,concrete operational,A,PSY,formal operations,0,Lorem,500,0
415,Newborn children,have limited sense abilities at birth and cannot feel pain at all.,can follow a moving object with their eyes.,cannot learn and must depend on the adaptive reflexes in order to survive.,B,PSY,have extremely poor hearing.,0,Lorem,500,0
416,When we say a child's thinking is less abstract than an adult's  we mean that,children use more examples and generalizations.,children use more principles  but require fewer generalizations.,children use fewer generalizations  categories  and principles.,C,PSY,adults base their understanding of the world more on particular examples and tangible sensations.,0,Lorem,500,0
417,If touched on the cheek  neonates will turn their head in that direction. This is called the,Moro reflex.,rooting reflex.,orientation response.,B,PSY,Babinski response.,0,Lorem,500,0
418,Physical growth and development is called,readiness.,maturation.,mobility.,B,PSY,heredity.,1,Lorem,500,0
419,Object permanence is to sensorimotor stage as conservation and reversibility are to,formal operational stage.,preoperational stage.,informal operational stage.,D,PSY,concrete operational stage.,0,Lorem,500,0
420,The rapid and early learning of permanent behavior patterns during critical periods of development in birds and other animals is called,separation anxiety.,learned referencing.,imprinting.,C,PSY,social referencing.,0,Lorem,500,0
421,Substances capable of causing birth defects are known as,carcinogens.,teratogens.,chorionic villi.,B,PSY,antigens.,0,Lorem,500,0
422,A child and her father are walking. The child knows there are such things as birds but has never seen a bluebird before. Upon seeing one  she says  &quot;See the birdie &quot; and her father replies  &quot;Yes  that's a bluebird.&quot; This example demonstrates,assimilation.,accommodation.,conservation.,A,PSY,object permanence.,0,Lorem,500,0
423,Piaget is mainly known for studying,language development.,sexual development.,social development.,D,PSY,cognitive development.,0,Lorem,500,0
424,Which combination could not produce a blue-eyed child?,brown-eyed father  blue-eyed mother,blue-eyed father  brown-eyed mother,both parents have green eyes,D,PSY,Each of the above could produce a blue-eyed child.,1,Lorem,500,0
425,When her mother leaves  Linda cries. When her mother returns  Linda crawls into her lap. According to Mary Ainsworth  Linda has a(n) __________ attachment.,securely attached,secure-avoidant,insecure-avoidant,A,PSY,insecure-ambivalent,0,Lorem,500,0
426,A child who thinks it gets dark so that she can sleep is demonstrating,object permanence.,imprinting.,deprivation dwarfism.,D,PSY,egocentrism.,0,Lorem,500,0
427,Authoritarian parents,demand strict adherence to rigid standards of behavior.,require little in the way of responsible behavior from their children.,encourage their children to act responsibly.,A,PSY,do not enforce rules.,1,Lorem,500,0
428,Cephalocaudal means,from the center of the body to the extremities.,from the past to the future.,from the head to the toes.,C,PSY,from birth to death.,0,Lorem,500,0
429,You offer to trade your nickel for a dime held by a child. The child accepts the trade because the nickel is &quot;bigger.&quot; The child is,in the preoperational stage.,in the neonatal stage of the growth sequence.,obviously past the &quot;age of reason.&quot;,A,PSY,displaying egocentric thought.,0,Lorem,500,0
430,It is important for a mother to breast feed her baby  as it,ensures proper brain development.,appears to aid in attachment.,is the only way to gain enough nutrition to survive.,B,PSY,is fundamental to the development of a healthy personality.,0,Lorem,500,0
431,Most human characteristics are the result of many genes working in combination. This is referred to as,recessive.,dominant.,chromosomal.,D,PSY,polygenic.,0,Lorem,500,0
432,Each cell possesses 46 __________ that are responsible for all the genetic information passed from parents to children.,genes,chromosomes,zygotes,B,PSY,gametes,0,Lorem,500,0
433,A child and her father are walking. The child knows there are such things as birds. Upon seeing a butterfly  she says  &quot;See the birdie &quot; and her father replies  &quot;No  that's a butterfly; see how small it is.&quot; This example demonstrates,assimilation.,accommodation.,conservation.,B,PSY,object permanence.,1,Lorem,500,0
434,If an infant is startled by a loud sound  it makes movements similar to an embrace. This is called a __________ reflex.,grasping,rooting,Babinski,D,PSY,Moro,0,Lorem,500,0
435,&quot;I demand that you obey&quot; is to authoritarian as &quot;Do your own thing&quot; is to,authoritative.,permissive.,permissionable.,B,PSY,overprotective.,0,Lorem,500,0
436,Babies will imitate actions they see when mothers show joy or interest because of,situational referencing.,learned referencing.,perceptual referencing.,D,PSY,social referencing.,0,Lorem,500,0
437,A child has learned to get his or her way with a younger sibling by using physical intimidation. If he or she uses the same tactics on peers  this demonstrates,social learning.,classical conditioning.,assimilation.,C,PSY,accommodation.,0,Lorem,500,0
438,The repetition by infants of meaningless language sounds (including both vowel and consonant sounds) is called,babbling.,cooing.,telegraphic speech.,A,PSY,crying.,0,Lorem,500,0
439,Vygotsky's sociocultural theory suggests that a child's most important discoveries are guided by,other children.,adults acting as tutors.,neither other children nor adults acting as tutors.,B,PSY,both other children and adults acting as tutors.,0,Lorem,500,0
440,Which of the following is one of the four basic ingredients of positive parent-child interactions?,discipline,forced teaching and learning,flooding the infant with stimuli,D,PSY,mutual respect,0,Lorem,500,0
441,Proximodistal means,from the center of the body to the extremities.,from the past to the future.,from the head to the toes.,A,PSY,from birth to death.,0,Lorem,500,0
442,According to __________  all children pass through a series of distinct stages in their intellectual development.,Piaget,Bloom,Watson,A,PSY,Harlow,1,Lorem,500,0
443,You are playing with a neighbor's son  Sam. He is taking a stick and waving it through the air  making airplane noises. You then take the stick and push it along the ground  making car noises. Sam angrily takes back the stick and says  &quot;No  it's a plane!&quot; Sam appears to be in Piaget's,preoperational stage.,concrete operational stage.,period of formal operations.,A,PSY,sensorimotor stage.,0,Lorem,500,0
444,Which of the following is characteristic of good parenting?,&quot;hothousing&quot;,forced teaching,flooding the infant with stimuli,D,PSY,consistency,0,Lorem,500,0
445,Which pattern of development would surprise you MOST?,A child stands holding furniture before he or she crawls.,A child walks if led before he or she stands alone.,A child sits alone before he or she stands holding furniture.,B,PSY,A child sits when supported before he or she holds his or her chest up.,0,Lorem,500,0
446,Babies who don't hear normal speech during their first year may have impaired language abilities because of,the human genome sequence.,the language sensitive period.,the period of motor primacy.,B,PSY,genetic abnormalities.,0,Lorem,500,0
447,Environmental factors that shape development include all of the following except,quality of learning.,intelligence.,quality of nutrition.,B,PSY,culture.,0,Lorem,500,0
448,You leave your child with a babysitter. When you return  your child ignores you. Your child's behavior indicates a(n) __________ attachment.,securely attached,secure-avoidant,insecure-avoidant,C,PSY,insecure-ambivalent,3,Lorem,500,0
449,Competent children who are characterized by autonomy  self-control  and curiosity are often a consequence of the parenting style described as,authoritarian.,authoritative.,permissive.,B,PSY,submissive.,4,Lorem,500,0
450,According to Noam Chomsky  day-old infants dance to speech due to,the primacy effect.,mother-infant attachment.,social learning.,D,PSY,innate factors.,0,Lorem,500,0
